State,Name,Airport,AirportName,Year,Departures,Domestic,International,Connections,DomesticConnections,InternationalConnections
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2015,105618,100133,5485,157,20,137
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2014,103793,99242,4551,159,18,141
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2013,110218,105543,4675,167,13,154
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2012,117182,112886,4296,172,13,159
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2011,119607,115913,3694,151,11,140
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2010,119021,115443,3578,145,11,134
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2009,113983,110927,3056,144,11,133
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2008,114612,111769,2843,137,11,126
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2007,120598,117174,3424,144,14,130
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2006,123848,119890,3958,141,15,126
"USA","United States of America","KBWI","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL",2005,129648,125594,4054,140,15,125
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2015,140138,135665,4473,244,11,233
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2014,135883,130975,4908,219,11,208
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2013,135290,129827,5463,284,15,269
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2012,135140,129539,5601,308,13,295
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2011,136106,132673,3433,257,8,249
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2010,130702,127211,3491,222,6,216
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2009,130121,126692,3429,198,6,192
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2008,133779,130261,3518,196,7,189
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2007,134304,130827,3477,190,5,185
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2006,131856,127454,4402,233,7,226
"USA","United States of America","KDCA","RONALD REAGAN NATIONAL",2005,124516,120742,3774,224,5,219
"USA","United States of America","KIAD","DULLES INTL",2015,114248,91741,22507,326,75,251
"USA","United States of America","KIAD","DULLES INTL",2014,125174,101784,23390,395,80,315
"USA","United States of America","KIAD","DULLES INTL",2013,132113,108624,23489,397,75,322
"USA","United States of America","KIAD","DULLES INTL",2012,133716,111016,22700,412,76,336
"USA","United States of America","KIAD","DULLES INTL",2011,139473,117218,22255,391,79,312
"USA","United States of America","KIAD","DULLES INTL",2010,143570,120619,22951,342,70,272
"USA","United States of America","KIAD","DULLES INTL",2009,144377,122445,21932,288,67,221
"USA","United States of America","KIAD","DULLES INTL",2008,147430,125411,22019,281,65,216
"USA","United States of America","KIAD","DULLES INTL",2007,151691,131094,20597,281,60,221
"USA","United States of America","KIAD","DULLES INTL",2006,145435,126856,18579,288,58,230
"USA","United States of America","KIAD","DULLES INTL",2005,209347,191792,17555,314,53,261
